,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,124,-81,195,"2,152",691,"1,339","1,417","1,093",617,"1,452","1,215"
Expenses +,141,-53,44,36,25,54,162,141,-7,188,56
Operating Profit,-17,-28,150,"2,116",666,"1,285","1,255",952,624,"1,264","1,159"
OPM %,-14%,,77%,98%,96%,96%,89%,87%,101%,87%,95%
Other Income +,"2,139","1,898",61,1,2,18,2,24,3,5,9
Interest,33,-49,21,70,11,-37,10,15,10,18,21
Depreciation,2,2,2,2,2,2,1,2,3,3,3
Profit before tax,"2,087","1,918",188,"2,045",655,"1,338","1,246",960,614,"1,248","1,144"
Tax %,1%,-1%,-10%,5%,8%,-15%,12%,12%,12%,-41%,18%
Net Profit +,"2,074","1,938",195,"1,940",601,"1,537","1,097",843,539,"1,763",943
EPS in Rs,122.08,114.09,11.46,114.21,35.41,90.50,64.57,49.62,31.76,103.78,55.52
Raw PDF,,,,,,,,,,,
