,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"1,585","1,763","1,911","1,946","1,996","2,209","2,410","2,449","2,508"
Interest,954,"1,062","1,151","1,200","1,279","1,399","1,514","1,516","1,551"
Expenses +,216,165,176,164,219,170,179,210,226
Financing Profit,416,536,585,582,498,640,718,723,731
Financing Margin %,26%,30%,31%,30%,25%,29%,30%,30%,29%
Other Income +,0,0,0,0,0,0,0,0,0
Depreciation,9,10,10,10,10,10,10,10,11
Profit before tax,407,526,575,572,488,630,708,713,720
Tax %,26%,12%,22%,24%,22%,23%,23%,23%,18%
Net Profit +,301,462,451,437,381,483,546,548,587
EPS in Rs,0.45,0.69,0.67,0.65,0.57,0.62,0.66,0.66,0.70
Gross NPA %,,0.23%,0.24%,0.25%,0.27%,0.28%,0.29%,0.29%,0.29%
Net NPA %,,0.08%,0.09%,0.10%,0.10%,0.11%,0.12%,0.13%,0.11%
Raw PDF,,,,,,,,,
