,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,355","2,966","3,422","2,819","3,191","2,365","3,830","4,820"
Expenses +,"1,891","2,394","2,711","2,096","2,564","2,103","2,949","3,942"
Operating Profit,465,571,711,723,627,262,882,878
OPM %,20%,19%,21%,26%,20%,11%,23%,18%
Other Income +,189,226,245,203,260,269,310,389
Interest,12,15,50,58,53,43,46,39
Depreciation,38,34,49,60,68,69,75,103
Profit before tax,604,748,858,808,766,418,"1,071","1,125"
Tax %,34%,36%,26%,25%,26%,27%,27%,26%
Net Profit +,396,478,632,609,564,305,783,827
EPS in Rs,14.58,18.17,24.02,23.13,21.44,11.58,29.77,31.45
Dividend Payout %,41%,36%,35%,34%,39%,73%,33%,31%
