,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,832,662,798,915,878,848,940,"1,096","1,010","1,001","1,182","1,283"
Expenses +,386,321,421,444,427,396,460,515,495,481,596,642
Operating Profit,445,341,376,472,451,452,480,581,515,521,586,641
OPM %,54%,52%,47%,52%,51%,53%,51%,53%,51%,52%,50%,50%
Other Income +,30,35,44,58,40,47,78,104,94,87,83,89
Interest,231,109,211,136,-16,71,143,134,82,-80,256,8
Depreciation,98,99,102,98,95,101,108,134,135,134,138,140
Profit before tax,146,167,108,295,412,328,307,417,392,554,276,581
Tax %,1%,17%,-8%,-2%,22%,22%,17%,21%,24%,33%,-22%,11%
Net Profit +,145,138,116,302,322,256,254,329,297,374,336,516
EPS in Rs,23.31,22.18,3.70,1.61,1.72,1.21,1.19,1.57,1.39,1.77,1.57,2.43
Raw PDF,,,,,,,,,,,,
