,"Mar 2018
            
              3m",Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,0,641,"2,156","2,036","2,432","3,365","4,872","5,842"
Expenses +,0,550,"1,866","1,729","1,981","2,732","3,881","4,613"
Operating Profit,-0,92,290,307,451,633,991,"1,230"
OPM %,,14%,13%,15%,19%,19%,20%,21%
Other Income +,0,1,19,21,32,43,60,170
Interest,0,7,20,17,19,32,55,42
Depreciation,0,19,108,133,120,146,196,225
Profit before tax,-0,67,181,178,345,497,800,"1,133"
Tax %,0%,18%,18%,17%,20%,22%,25%,26%
Net Profit +,-0,55,148,147,276,387,599,840
EPS in Rs,-27.00,1.98,5.38,5.33,10.00,13.90,21.69,30.63
Dividend Payout %,0%,37%,18%,28%,31%,29%,31%,28%
